"","H2O-041-513-718-1F_filt.fastq.gz","H2O-042-515-718-1F_filt.fastq.gz","H2O-043-516-718-1F_filt.fastq.gz","H2O-044-517-718-1F_filt.fastq.gz","H2O-045-518-719-1F_filt.fastq.gz","H2O-046-520-719-1F_filt.fastq.gz","H2O-047-521-719-1F_filt.fastq.gz","H2O-048-522-719-1F_filt.fastq.gz","H2O-049-502-719-1F_filt.fastq.gz","H2O-050-503-719-1F_filt.fastq.gz","H2O-051-505-719-1F_filt.fastq.gz","H2O-052-506-719-1F_filt.fastq.gz","H2O-053-507-719-1F_filt.fastq.gz","H2O-054-508-719-1F_filt.fastq.gz","H2O-055-510-719-1F_filt.fastq.gz","H2O-056-511-720-1F_filt.fastq.gz","H2O-057-513-720-1F_filt.fastq.gz","H2O-058-515-720-1F_filt.fastq.gz","H2O-059-516-720-1F_filt.fastq.gz","H2O-060-517-720-1F_filt.fastq.gz","H2O-061-521-720-1F_filt.fastq.gz","H2O-062-520-720-1F_filt.fastq.gz","NP-001-502-714-1F_filt.fastq.gz","NP-002-503-714-1F_filt.fastq.gz","NP-003-505-714-1F_filt.fastq.gz","NP-004-506-714-1F_filt.fastq.gz","NP-007-510-714-1F_filt.fastq.gz","NP-008-511-714-1F_filt.fastq.gz","NP-009-513-714-1F_filt.fastq.gz","NP-010-515-714-1F_filt.fastq.gz","NP-011-516-715-1F_filt.fastq.gz","NP-014-520-715-1F_filt.fastq.gz","NP-015-521-715-1F_filt.fastq.gz","NP-017-502-715-1F_filt.fastq.gz","NP-018-503-715-1F_filt.fastq.gz","NP-019-505-715-1F_filt.fastq.gz","NP-022-508-715-1F_filt.fastq.gz","NP-025-513-716-1F_filt.fastq.gz","NP-026-515-716-1F_filt.fastq.gz","NP-027-516-716-1F_filt.fastq.gz","NP-028-517-716-1F_filt.fastq.gz","NP-029-518-716-1F_filt.fastq.gz","NP-034-503-718-1F_filt.fastq.gz","NP-035-505-718-1F_filt.fastq.gz","NP-036-506-718-1F_filt.fastq.gz","NP-037-507-718-1F_filt.fastq.gz"
"ASV200",4,24,5,15,38,9,7,22,14,29,5,50,50,10,5,0,4,4,2,20,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV212",0,4,5,31,107,0,0,10,11,44,10,3,0,0,0,1,0,0,0,12,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV215",0,2,2,7,2,0,0,0,0,0,0,13,15,0,0,0,0,0,1,21,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV222",14,10,151,12,11,0,0,8,7,0,4,0,0,0,0,0,0,0,1,0,0,0,0,28,31,10,3,0,3,8,15,0,3,0,0,0,0,0,0,0,0,0,0,0,39,50
"ASV226",0,4,0,1,2,0,0,0,7,0,0,16,9,3,13,0,7,0,5,91,19,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV227",11,18,58,29,152,0,3,9,8,17,10,0,29,1,2,6,0,0,0,1,10,7,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV228",17,7,31,4,5,17,21,20,65,5,5,5,0,5,12,23,21,16,7,10,9,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV230",0,80,1,14,4,0,0,16,0,18,2,28,26,3,3,0,7,3,18,31,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV231",14,7,8,5,2,20,19,19,25,22,4,21,7,4,9,48,37,41,19,22,19,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV236",0,6,11,14,19,0,1,15,11,6,18,0,0,0,0,8,0,2,3,66,38,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV237",8,173,0,8,1,15,0,41,2,31,1,98,85,3,10,2,20,5,38,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV242",3,53,5,34,0,13,6,45,12,46,1,66,56,0,0,0,0,0,3,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV243",0,0,12,7,65,0,0,0,3,3,10,20,1,2,0,0,2,0,0,4,4,10,0,0,0,0,0,0,0,0,0,0,0,566,0,0,0,0,0,0,0,0,0,0,0,0
"ASV245",3,109,78,7,12,0,3,113,76,25,8,39,24,1,0,107,137,81,64,21,22,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV261",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV265",5,8,1,0,9,7,5,13,0,2,2,0,15,0,1,1,3,0,1,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV269",0,9,0,3,0,0,0,10,2,2,0,22,20,0,0,0,2,0,9,11,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV296",3,0,6,4,31,0,0,3,12,11,3,24,38,0,1,0,0,0,1,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV310",2,1,9,3,1,1,1,5,11,2,3,2,3,2,1,3,6,6,11,8,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV312",10,61,26,38,19,4,11,33,44,31,20,5,5,0,7,5,0,7,10,0,13,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV317",3,312,2,15,28,12,10,88,7,64,6,64,81,9,12,0,17,14,79,35,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV331",12,0,12,10,10,7,8,0,10,0,15,9,3,0,14,13,15,7,3,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV332",0,0,0,0,0,1,0,0,0,0,0,50,90,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV334",0,29,15,8,0,0,0,31,11,18,3,27,26,8,0,4,10,5,27,19,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV337",4,34,1,7,2,2,0,16,1,5,1,9,12,0,1,0,3,0,7,18,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV338",30,7,20,0,0,31,40,24,21,0,0,11,0,0,0,4,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV344",0,91,4,48,4,6,6,32,3,77,4,11,18,1,3,0,1,0,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV345",0,37,0,0,0,6,1,35,0,5,0,27,62,18,25,50,67,40,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV352",0,66,0,0,0,3,0,26,1,6,0,7,8,0,0,2,9,3,12,47,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
